0	 
1	<nul>
2	<nul>
3	𒀸
4	𒌷
5	𒆪
6	𒇷
7	𒅎
8	𒈨
9	𒊑
10	𒉺
11	𒈝
12	𒈠
13	𒍑
14	𒋗
15	𒅗
16	𒉌
17	𒅇
18	𒅕
19	𒁲
20	𒀭
21	𒌍
22	𒌋
23	𒌓
24	𒌗
25	𒌑
26	𒆷
27	𒈾
28	𒀀
29	𒃲
30	𒋼
31	𒇻
32	𒆠
33	𒄿
34	𒇉
35	𒊮
36	𒃻
37	𒂍
38	𒋾
39	𒁹
40	𒋩
41	𒉽
42	𒆳
43	𒄭
44	𒋙
45	𒉡
46	𒁉
47	𒇬
48	𒊒
49	𒋡
50	𒁄
51	𒋃
52	𒄣
53	𒁀
54	𒍪
55	𒀜
56	𒁕
57	𒍝
58	𒉣
59	𒄷
60	𒆥
61	𒄲
62	𒀹
63	𒁯
64	𒅥
65	𒃣
66	𒉓
67	𒄨
68	𒑚
69	𒉈
70	𒆤
71	𒆵
72	𒋅
73	𒊬
74	𒅀
75	𒅖
76	𒄰
77	𒁇
78	𒍏
79	𒄑
80	𒇀
81	𒈛
82	𒈪
83	𒍠
84	𒃮
85	𒊩
86	𒈬
87	𒋳
88	𒁓
89	𒌝
90	𒄴
91	𒉿
92	𒂊
93	𒁴
94	𒂗
95	𒇽
96	𒄃
97	𒊺
98	𒉀
99	𒉒
100	𒆬
101	𒊍
102	𒄬
103	𒂟
104	𒇲
105	𒅊
106	𒁼
107	𒐊
108	𒐕
109	𒅆
110	𒄞
111	𒐍
112	𒐋
113	𒈫
114	𒆜
115	𒁍
116	𒆕
117	𒀲
118	𒊏
119	𒍣
120	𒁈
121	𒄖
122	𒅈
123	𒈗
124	𒁁
125	𒋬
126	𒌒
127	𒋢
128	𒁷
129	𒄀
130	𒍢
131	𒄘
132	𒀾
133	𒋥
134	𒀝
135	𒀳
136	𒀴
137	𒋀
138	𒋫
139	𒇺
140	𒂈
141	𒁶
142	𒌨
143	𒀉
144	𒊭
145	𒂷
146	𒋰
147	𒅅
148	𒄠
149	𒆗
150	𒁺
151	𒌦
152	𒊕
153	𒄯
154	𒀯
155	𒊻
156	𒄔
157	𒍼
158	𒋔
159	𒈻
160	𒍸
161	𒌉
162	𒈲
163	𒀖
164	𒉆
165	𒀪
166	𒅋
167	𒌇
168	𒅁
169	𒆰
170	𒄩
171	𒅔
172	𒌅
173	𒆍
174	𒉏
175	𒋛
176	𒊊
177	𒆭
178	𒀎
179	𒊧
180	𒆽
181	𒅡
182	𒈉
183	𒌌
184	𒉼
185	𒀊
186	𒇧
187	𒄥
188	𒊓
189	𒆟
190	𒆘
191	𒄫
192	𒌈
193	𒃞
194	𒉘
195	𒉄
196	𒆞
197	𒃩
198	𒐲
199	𒌣
200	𒁳
201	𒋽
202	𒍭
203	𒂚
204	𒄋
205	𒆓
206	𒍮
207	𒊹
208	𒌁
209	𒂇
210	𒋦
211	
212	𒅘
213	𒐉
214	𒇁
215	𒈺
216	𒈹
217	𒆸
218	𒌩
219	𒄵
220	𒋻
221	𒈤
222	𒀫
223	𒁃
224	𒀰
225	𒐬
226	𒃥
227	𒎇
228	𒈋
229	𒃼
230	𒊌
231	𒌆
232	𒋧
233	𒍦
234	𒆑
235	𒇐
236	𒇑
237	𒇒
238	𒇜
239	𒌚
240	𒈥
241	𒂦
242	𒂵
243	𒆮
244	𒈁
245	𒍵
246	𒃾
247	𒇩
248	𒃚
249	𒅶
250	𒊐
251	𒋞
252	𒂀
253	𒈐
254	𒋺
255	𒀩
256	𒃵
257	𒐌
258	𒀠
259	𒃃
260	𒆩
261	𒃍
262	𒐧
263	𒉜
264	𒑐
265	𒂅
266	𒇴
267	𒈒
268	𒇤
269	𒅞
270	𒍽
271	𒂠
272	𒍥
273	𒐵
274	𒍿
275	𒃖
276	𒇵
277	𒄗
278	𒀘
279	𒐻
280	𒋜
281	𒆒
282	𒂼
283	𒀏
284	𒌴
285	𒉎
286	𒅤
287	𒇳
288	𒉚
289	𒑕
290	𒃸
291	𒍬
292	𒐐
293	𒊔
294	𒇍
295	𒃪
296	𒃫
297	𒃬
298	𒀋
299	𒀌
300	𒇎
301	𒁮
302	𒀞
303	𒂡
304	𒇫
305	𒈜
306	𒆹
307	𒐑
308	𒀬
309	𒆲
310	𒂙
311	𒍤
312	𒄒
313	𒋆
314	𒐘
315	𒀈
316	𒄱
317	𒌶
318	𒄙
319	𒍇
320	𒇸
321	𒂔
322	𒆦
323	𒍎
324	𒊨
325	𒋠
326	𒀕
327	𒅒
328	𒀺
329	𒉶
330	𒍛
331	𒊖
332	𒁐
333	𒁑
334	𒆚
335	𒄉
336	𒁜
337	𒁒
338	𒎘
339	𒐭
340	𒈓
341	𒁾
342	𒌀
343	𒊽
344	𒐈
345	𒄺
346	𒂄
347	𒌵
348	𒈮
349	𒄻
350	𒅂
351	𒁝
352	𒌢
353	𒌤
354	𒍒
355	𒍜
356	𒈟
357	𒈑
358	𒊡
359	𒎁
360	𒆔
361	𒀗
362	𒁢
363	𒊇
364	𒑇
365	𒋇
366	𒁔
367	𒇱
368	𒉻
369	𒄽
370	𒂆
371	𒑑
372	𒆐
373	𒐞
374	𒇣
375	𒋷
376	𒉑
377	𒊪
378	𒃶
379	𒄤
380	𒊿
381	𒃰
382	𒌖
383	𒑞
384	𒌲
385	𒇌
386	𒅌
387	𒋕
388	𒎃
389	𒋸
390	𒄳
391	𒐰
392	𒐟
393	𒃷
394	𒉃
395	𒆉
396	𒈧
397	𒉠
398	𒁭
399	𒋣
400	𒁟
